id,model,metric,score
12,mistral_rag,virality,3
12,gemini_rag,correctness,4
12,gemini_rag,relevance,5
12,gemini_rag,faithfulness,3
12,gemini_rag,helpfulness,5
12,gemini_rag,truthfulness,5
12,gemini_rag,virality,4
12,deepseek_rag,correctness,1
12,deepseek_rag,relevance,5
12,deepseek_rag,faithfulness,2
12,deepseek_rag,helpfulness,5
12,deepseek_rag,truthfulness,5
12,deepseek_rag,virality,4
13,llama_rag,correctness,4
13,llama_rag,relevance,5
13,llama_rag,faithfulness,5
13,llama_rag,helpfulness,5
13,llama_rag,truthfulness,5
13,llama_rag,virality,3
13,mistral_rag,correctness,2
13,mistral_rag,relevance,3
13,mistral_rag,faithfulness,2
13,mistral_rag,helpfulness,5
13,mistral_rag,truthfulness,3
13,mistral_rag,virality,2
13,gemini_rag,correctness,1
13,gemini_rag,relevance,4
13,gemini_rag,faithfulness,3
13,gemini_rag,helpfulness,5
13,gemini_rag,truthfulness,5
13,gemini_rag,virality,4
13,deepseek_rag,correctness,4
13,deepseek_rag,relevance,5
13,deepseek_rag,faithfulness,5
13,deepseek_rag,helpfulness,5
13,deepseek_rag,truthfulness,5
13,deepseek_rag,virality,4
14,llama_rag,correctness,1
14,llama_rag,relevance,5
14,llama_rag,faithfulness,5
14,llama_rag,helpfulness,5
14,llama_rag,truthfulness,5
14,llama_rag,virality,3
14,mistral_rag,correctness,1
14,mistral_rag,relevance,5
14,mistral_rag,faithfulness,1
14,mistral_rag,helpfulness,5
14,mistral_rag,truthfulness,5
14,mistral_rag,virality,3
14,gemini_rag,correctness,1
14,gemini_rag,relevance,4
14,gemini_rag,faithfulness,2
14,gemini_rag,helpfulness,5
14,gemini_rag,truthfulness,5
14,gemini_rag,virality,4
14,deepseek_rag,correctness,1
14,deepseek_rag,relevance,5
14,deepseek_rag,faithfulness,5
14,deepseek_rag,helpfulness,5
14,deepseek_rag,truthfulness,5
14,deepseek_rag,virality,4
15,llama_rag,correctness,1
15,llama_rag,relevance,5
15,llama_rag,faithfulness,1
15,llama_rag,helpfulness,5
15,llama_rag,truthfulness,5
15,llama_rag,virality,4
15,mistral_rag,correctness,1
15,mistral_rag,relevance,3
15,mistral_rag,faithfulness,3
15,mistral_rag,helpfulness,4
15,mistral_rag,truthfulness,4
15,mistral_rag,virality,3
15,gemini_rag,correctness,1
15,gemini_rag,relevance,2
15,gemini_rag,faithfulness,1
15,gemini_rag,helpfulness,4
15,gemini_rag,truthfulness,5
15,gemini_rag,virality,3
15,deepseek_rag,correctness,1
15,deepseek_rag,relevance,4
15,deepseek_rag,faithfulness,5
15,deepseek_rag,helpfulness,5
15,deepseek_rag,truthfulness,4
15,deepseek_rag,virality,4
16,llama_rag,correctness,5
16,llama_rag,relevance,5
16,llama_rag,faithfulness,5
16,llama_rag,helpfulness,5
16,llama_rag,truthfulness,5
16,llama_rag,virality,3
16,mistral_rag,correctness,1
16,mistral_rag,relevance,5
16,mistral_rag,faithfulness,2
16,mistral_rag,helpfulness,5
16,mistral_rag,truthfulness,5
16,mistral_rag,virality,3
16,gemini_rag,correctness,5
16,gemini_rag,relevance,5
16,gemini_rag,faithfulness,5
16,gemini_rag,helpfulness,5
16,gemini_rag,truthfulness,5
16,gemini_rag,virality,4
16,deepseek_rag,correctness,5
16,deepseek_rag,relevance,5
16,deepseek_rag,faithfulness,5
16,deepseek_rag,helpfulness,5
16,deepseek_rag,truthfulness,5
16,deepseek_rag,virality,4
17,llama_rag,correctness,3
17,llama_rag,relevance,5
17,llama_rag,faithfulness,3
17,llama_rag,helpfulness,5
17,llama_rag,truthfulness,5
17,llama_rag,virality,4
17,mistral_rag,correctness,1
17,mistral_rag,relevance,5
17,mistral_rag,faithfulness,2
17,mistral_rag,helpfulness,5
17,mistral_rag,truthfulness,5
17,mistral_rag,virality,4
17,gemini_rag,correctness,4
17,gemini_rag,relevance,5
17,gemini_rag,faithfulness,5
17,gemini_rag,helpfulness,5
17,gemini_rag,truthfulness,5
17,gemini_rag,virality,3
17,deepseek_rag,correctness,1
17,deepseek_rag,relevance,5
17,deepseek_rag,faithfulness,5
17,deepseek_rag,helpfulness,5
17,deepseek_rag,truthfulness,5
17,deepseek_rag,virality,4
18,llama_rag,correctness,5
18,llama_rag,relevance,5
18,llama_rag,faithfulness,5
18,llama_rag,helpfulness,5
18,llama_rag,truthfulness,5
18,llama_rag,virality,3
18,mistral_rag,correctness,1
18,mistral_rag,relevance,5
18,mistral_rag,faithfulness,2
18,mistral_rag,helpfulness,5
18,mistral_rag,truthfulness,5
18,mistral_rag,virality,3
18,gemini_rag,correctness,1
18,gemini_rag,relevance,5
18,gemini_rag,faithfulness,1
18,gemini_rag,helpfulness,5
18,gemini_rag,truthfulness,5
18,gemini_rag,virality,4
18,deepseek_rag,correctness,5
18,deepseek_rag,relevance,5
18,deepseek_rag,faithfulness,5
18,deepseek_rag,helpfulness,5
18,deepseek_rag,truthfulness,5
18,deepseek_rag,virality,4
19,llama_rag,correctness,1
19,llama_rag,relevance,5
19,llama_rag,faithfulness,1
19,llama_rag,helpfulness,5
19,llama_rag,truthfulness,5
19,llama_rag,virality,4
19,mistral_rag,correctness,5
19,mistral_rag,relevance,5
19,mistral_rag,faithfulness,1
19,mistral_rag,helpfulness,5
19,mistral_rag,truthfulness,5
19,mistral_rag,virality,3
19,gemini_rag,correctness,1
19,gemini_rag,relevance,4
19,gemini_rag,faithfulness,4
19,gemini_rag,helpfulness,5
19,gemini_rag,truthfulness,5
19,gemini_rag,virality,4
19,deepseek_rag,correctness,1
19,deepseek_rag,relevance,5
19,deepseek_rag,faithfulness,3
19,deepseek_rag,helpfulness,5
19,deepseek_rag,truthfulness,5
19,deepseek_rag,virality,4
20,llama_rag,correctness,1
20,llama_rag,relevance,5
20,llama_rag,faithfulness,2
20,llama_rag,helpfulness,5
20,llama_rag,truthfulness,5
20,llama_rag,virality,4
20,mistral_rag,correctness,1
20,mistral_rag,relevance,5
20,mistral_rag,faithfulness,1
20,mistral_rag,helpfulness,5
20,mistral_rag,truthfulness,5
20,mistral_rag,virality,3
20,gemini_rag,correctness,1
20,gemini_rag,relevance,5
20,gemini_rag,faithfulness,1
20,gemini_rag,helpfulness,5
20,gemini_rag,truthfulness,5
20,gemini_rag,virality,3
20,deepseek_rag,correctness,1
20,deepseek_rag,relevance,5
20,deepseek_rag,faithfulness,1
20,deepseek_rag,helpfulness,5
20,deepseek_rag,truthfulness,5
20,deepseek_rag,virality,3
21,llama_rag,correctness,4
21,llama_rag,relevance,5
21,llama_rag,faithfulness,5
21,llama_rag,helpfulness,5
21,llama_rag,truthfulness,5
21,llama_rag,virality,5
21,mistral_rag,correctness,3
21,mistral_rag,relevance,4
21,mistral_rag,faithfulness,5
21,mistral_rag,helpfulness,5
21,mistral_rag,truthfulness,5
21,mistral_rag,virality,4
21,gemini_rag,correctness,2
21,gemini_rag,relevance,5
21,gemini_rag,faithfulness,5
21,gemini_rag,helpfulness,5
21,gemini_rag,truthfulness,5
21,gemini_rag,virality,4
21,deepseek_rag,correctness,5
21,deepseek_rag,relevance,5
21,deepseek_rag,faithfulness,5
21,deepseek_rag,helpfulness,5
21,deepseek_rag,truthfulness,5
21,deepseek_rag,virality,5
22,llama_rag,correctness,3
22,llama_rag,relevance,4
22,llama_rag,faithfulness,2
22,llama_rag,helpfulness,5
22,llama_rag,truthfulness,5
22,llama_rag,virality,4
22,mistral_rag,correctness,2
22,mistral_rag,relevance,3
22,mistral_rag,faithfulness,4
22,mistral_rag,helpfulness,2
22,mistral_rag,truthfulness,5
22,mistral_rag,virality,3
22,gemini_rag,correctness,3
22,gemini_rag,relevance,4
22,gemini_rag,faithfulness,4
22,gemini_rag,helpfulness,5
22,gemini_rag,truthfulness,5
22,gemini_rag,virality,4
22,deepseek_rag,correctness,5
22,deepseek_rag,relevance,5
22,deepseek_rag,faithfulness,4
22,deepseek_rag,helpfulness,5
22,deepseek_rag,truthfulness,5
22,deepseek_rag,virality,4
23,llama_rag,correctness,1
23,llama_rag,relevance,4
23,llama_rag,faithfulness,5
23,llama_rag,helpfulness,5
23,llama_rag,truthfulness,5
23,llama_rag,virality,2
23,mistral_rag,correctness,1
23,mistral_rag,relevance,5
23,mistral_rag,faithfulness,5
23,mistral_rag,helpfulness,5
23,mistral_rag,truthfulness,5
23,mistral_rag,virality,3
23,gemini_rag,correctness,1
23,gemini_rag,relevance,5
23,gemini_rag,faithfulness,5
23,gemini_rag,helpfulness,5
23,gemini_rag,truthfulness,5
23,gemini_rag,virality,3
23,deepseek_rag,correctness,2
23,deepseek_rag,relevance,5
23,deepseek_rag,faithfulness,5
23,deepseek_rag,helpfulness,5
23,deepseek_rag,truthfulness,5
23,deepseek_rag,virality,3
24,llama_rag,correctness,3
24,llama_rag,relevance,4
24,llama_rag,faithfulness,3
24,llama_rag,helpfulness,5
24,llama_rag,truthfulness,5
24,llama_rag,virality,3
24,mistral_rag,correctness,1
24,mistral_rag,relevance,2
24,mistral_rag,faithfulness,1
24,mistral_rag,helpfulness,5
24,mistral_rag,truthfulness,4
24,mistral_rag,virality,3
24,gemini_rag,correctness,3
24,gemini_rag,relevance,4
24,gemini_rag,faithfulness,4
24,gemini_rag,helpfulness,4
24,gemini_rag,truthfulness,5
24,gemini_rag,virality,3
24,deepseek_rag,correctness,1
24,deepseek_rag,relevance,5
24,deepseek_rag,faithfulness,2
24,deepseek_rag,helpfulness,5
24,deepseek_rag,truthfulness,5
24,deepseek_rag,virality,4
25,llama_rag,correctness,3
25,llama_rag,relevance,4
25,llama_rag,faithfulness,3
25,llama_rag,helpfulness,3
25,llama_rag,truthfulness,4
25,llama_rag,virality,3
25,mistral_rag,correctness,1
25,mistral_rag,relevance,3
25,mistral_rag,faithfulness,1
25,mistral_rag,helpfulness,1
25,mistral_rag,truthfulness,3
25,mistral_rag,virality,3
25,gemini_rag,correctness,4
25,gemini_rag,relevance,5
25,gemini_rag,faithfulness,5
25,gemini_rag,helpfulness,4
25,gemini_rag,truthfulness,4
25,gemini_rag,virality,3
25,deepseek_rag,correctness,1
25,deepseek_rag,relevance,3
25,deepseek_rag,faithfulness,2
25,deepseek_rag,helpfulness,1
25,deepseek_rag,truthfulness,4
25,deepseek_rag,virality,3
26,llama_rag,correctness,5
26,llama_rag,relevance,5
26,llama_rag,faithfulness,3
26,llama_rag,helpfulness,5
26,llama_rag,truthfulness,5
26,llama_rag,virality,4
26,mistral_rag,correctness,1
26,mistral_rag,relevance,5
26,mistral_rag,faithfulness,1
26,mistral_rag,helpfulness,5
26,mistral_rag,truthfulness,5
26,mistral_rag,virality,3
26,gemini_rag,correctness,2
26,gemini_rag,relevance,5
26,gemini_rag,faithfulness,3
26,gemini_rag,helpfulness,5
26,gemini_rag,truthfulness,4
26,gemini_rag,virality,3
26,deepseek_rag,correctness,1
26,deepseek_rag,relevance,5
26,deepseek_rag,faithfulness,2
26,deepseek_rag,helpfulness,5
26,deepseek_rag,truthfulness,5
26,deepseek_rag,virality,4
27,llama_rag,correctness,5
27,llama_rag,relevance,5
27,llama_rag,faithfulness,5
27,llama_rag,helpfulness,5
27,llama_rag,truthfulness,5
27,llama_rag,virality,1
27,mistral_rag,correctness,1
27,mistral_rag,relevance,3
27,mistral_rag,faithfulness,1
27,mistral_rag,helpfulness,4
27,mistral_rag,truthfulness,5
27,mistral_rag,virality,2
27,gemini_rag,correctness,1
27,gemini_rag,relevance,5
27,gemini_rag,faithfulness,1
27,gemini_rag,helpfulness,5
27,gemini_rag,truthfulness,5
27,gemini_rag,virality,3
27,deepseek_rag,correctness,1
27,deepseek_rag,relevance,5
27,deepseek_rag,faithfulness,1
27,deepseek_rag,helpfulness,5
27,deepseek_rag,truthfulness,5
27,deepseek_rag,virality,4
28,llama_rag,correctness,1
28,llama_rag,relevance,2
28,llama_rag,faithfulness,1
28,llama_rag,helpfulness,2
28,llama_rag,truthfulness,4
28,llama_rag,virality,3
28,mistral_rag,correctness,1
28,mistral_rag,relevance,5
28,mistral_rag,faithfulness,1
28,mistral_rag,helpfulness,5
28,mistral_rag,truthfulness,5
28,mistral_rag,virality,3
28,gemini_rag,correctness,1
28,gemini_rag,relevance,5
28,gemini_rag,faithfulness,1
28,gemini_rag,helpfulness,4
28,gemini_rag,truthfulness,5
28,gemini_rag,virality,4
28,deepseek_rag,correctness,1
28,deepseek_rag,relevance,5
28,deepseek_rag,faithfulness,1
28,deepseek_rag,helpfulness,5
28,deepseek_rag,truthfulness,5
28,deepseek_rag,virality,5
29,llama_rag,correctness,2
29,llama_rag,relevance,2
29,llama_rag,faithfulness,2
29,llama_rag,helpfulness,4
29,llama_rag,truthfulness,3
29,llama_rag,virality,3
29,mistral_rag,correctness,1
29,mistral_rag,relevance,5
29,mistral_rag,faithfulness,1
29,mistral_rag,helpfulness,5
29,mistral_rag,truthfulness,5
29,mistral_rag,virality,4
29,gemini_rag,correctness,1
29,gemini_rag,relevance,2
29,gemini_rag,faithfulness,1
29,gemini_rag,helpfulness,5
29,gemini_rag,truthfulness,5
29,gemini_rag,virality,3
29,deepseek_rag,correctness,1
29,deepseek_rag,relevance,2
29,deepseek_rag,faithfulness,1
29,deepseek_rag,helpfulness,5
29,deepseek_rag,truthfulness,5
29,deepseek_rag,virality,4
